"fullName","submittedname","acceptedname","sourceid","score","matchedname","authority","uri","phylum","order","country"
"Hoya australis R. Br. ex J. Traill","Hoya australis","Hoya australis","iPlant_TNRS","1","Hoya australis","R. Br. ex J. Traill","http://www.tropicos.org/Name/2601468",NA,NA,NA
"Hylocereus undatus (Haw.) Britton & Rose","Hylocereus undatus","Hylocereus undatus","iPlant_TNRS","1","Hylocereus undatus","(Haw.) Britton & Rose","http://www.tropicos.org/Name/5101084",NA,NA,NA
"Hyparrhenia rufa (Nees) Stapf","Hyparrhenia rufa","Hyparrhenia rufa","iPlant_TNRS","1","Hyparrhenia rufa","(Nees) Stapf","http://www.tropicos.org/Name/25511197",NA,NA,NA
"Hypoestes phyllostachya Baker","Hypoestes phyllostachya","Hypoestes phyllostachya","iPlant_TNRS","1","Hypoestes phyllostachya","Baker","http://www.tropicos.org/Name/102589",NA,NA,NA
"Indigofera suffruticosa Mill.","Indigofera suffruticosa","Indigofera suffruticosa","iPlant_TNRS","1","Indigofera suffruticosa","Mill.","http://www.tropicos.org/Name/13021076",NA,NA,NA
"Indigofera tinctoria L.","Indigofera tinctoria","Indigofera tinctoria","iPlant_TNRS","1","Indigofera tinctoria","L.","http://www.tropicos.org/Name/13006096",NA,NA,NA
"Ipomoea batatas (L.) Lam.","Ipomoea batatas","Ipomoea batatas","iPlant_TNRS","1","Ipomoea batatas","(L.) Lam.","http://www.tropicos.org/Name/8500721",NA,NA,NA
"Ipomoea cairica (L.) Sweet","Ipomoea cairica","Ipomoea cairica","iPlant_TNRS","1","Ipomoea cairica","(L.) Sweet","http://www.tropicos.org/Name/8501793",NA,NA,NA
"Ipomoea hederifolia L.","Ipomoea hederifolia","Ipomoea hederifolia","iPlant_TNRS","1","Ipomoea hederifolia","L.","http://www.tropicos.org/Name/8500049",NA,NA,NA
"Ipomoea indica (Burm.) Merr.","Ipomoea indica","Ipomoea indica","iPlant_TNRS","1","Ipomoea indica","(Burm.) Merr.","http://www.tropicos.org/Name/8500780",NA,NA,NA
"Ipomoea quamoclit L.","Ipomoea quamoclit","Ipomoea quamoclit","iPlant_TNRS","1","Ipomoea quamoclit","L.","http://www.tropicos.org/Name/8500062",NA,NA,NA
"Jatropha curcas L.","Jatropha curcas","Jatropha curcas","iPlant_TNRS","1","Jatropha curcas","L.","http://www.tropicos.org/Name/12800067",NA,NA,NA
"Jatropha podagrica Hook.","Jatropha podagrica","Jatropha podagrica","iPlant_TNRS","1","Jatropha podagrica","Hook.","http://www.tropicos.org/Name/12800226",NA,NA,NA
"Justicia betonica L.","Justicia betonica","Justicia betonica","iPlant_TNRS","1","Justicia betonica","L.","http://www.tropicos.org/Name/100054",NA,NA,NA
"Lablab purpureus (L.) Sweet","Lablab purpureus","Lablab purpureus","iPlant_TNRS","1","Lablab purpureus","(L.) Sweet","http://www.tropicos.org/Name/13021444",NA,NA,NA
"Lantana montevidensis (Spreng.) Briq.","Lantana montevidensis","Lantana montevidensis","iPlant_TNRS","1","Lantana montevidensis","(Spreng.) Briq.","http://www.tropicos.org/Name/33700784",NA,NA,NA
"Launaea sarmentosa (Willd.) Kuntze","Launaea sarmentosa","Launaea sarmentosa","iPlant_TNRS","1","Launaea sarmentosa","(Willd.) Kuntze","http://www.tropicos.org/Name/2722776",NA,NA,NA
"Mangifera indica L.","Mangifera indica","Mangifera indica","iPlant_TNRS","1","Mangifera indica","L.","http://www.tropicos.org/Name/1300071",NA,NA,NA
"Manihot esculenta Crantz","Manihot esculenta","Manihot esculenta","iPlant_TNRS","1","Manihot esculenta","Crantz","http://www.tropicos.org/Name/12800237",NA,NA,NA
"Melastoma malabathricum L.","Melastoma malabathricum","Melastoma malabathricum","iPlant_TNRS","1","Melastoma malabathricum","L.","http://www.tropicos.org/Name/20302081",NA,NA,NA
"Melicoccus bijugatus Jacq.","Melicoccus bijugatus","Melicoccus bijugatus","iPlant_TNRS","1","Melicoccus bijugatus","Jacq.","http://www.tropicos.org/Name/28600569",NA,NA,NA
"Mimosa pigra L.","Mimosa pigra","Mimosa pigra","iPlant_TNRS","1","Mimosa pigra","L.","http://www.tropicos.org/Name/13045191",NA,NA,NA
"Momordica balsamina L.","Momordica balsamina","Momordica balsamina","iPlant_TNRS","1","Momordica balsamina","L.","http://www.tropicos.org/Name/9200483",NA,NA,NA
"Momordica charantia L.","Momordica charantia","Momordica charantia","iPlant_TNRS","1","Momordica charantia","L.","http://www.tropicos.org/Name/9200010",NA,NA,NA
"Morinda citrifolia L.","Morinda citrifolia","Morinda citrifolia","iPlant_TNRS","1","Morinda citrifolia","L.","http://www.tropicos.org/Name/27900127","Tracheophyta","Gentianales","IO"
"Muntingia calabura L.","Muntingia calabura","Muntingia calabura","iPlant_TNRS","1","Muntingia calabura","L.","http://www.tropicos.org/Name/11700033",NA,NA,NA
"Nephrolepis brownii (Desv.) Hovenkamp & Miyam.","Nephrolepis brownii","Nephrolepis brownii","iPlant_TNRS","1","Nephrolepis brownii","(Desv.) Hovenkamp & Miyam.","http://www.tropicos.org/Name/50289229",NA,NA,NA
"Nephrolepis cordifolia (L.) C. Presl","Nephrolepis cordifolia","Nephrolepis cordifolia","iPlant_TNRS","1","Nephrolepis cordifolia","(L.) C. Presl","http://www.tropicos.org/Name/26602325",NA,NA,NA
"Neyraudia reynaudiana (Kunth) Keng ex Hitchc.","Neyraudia reynaudiana","Neyraudia reynaudiana","iPlant_TNRS","1","Neyraudia reynaudiana","(Kunth) Keng ex Hitchc.","http://www.tropicos.org/Name/25509771",NA,NA,NA
"Nicotiana tabacum L.","Nicotiana tabacum","Nicotiana tabacum","iPlant_TNRS","1","Nicotiana tabacum","L.","http://www.tropicos.org/Name/29603382",NA,NA,NA
"Ochna pulchra Hook.","Ochna pulchra","Ochna pulchra","iPlant_TNRS","1","Ochna pulchra","Hook.","http://www.tropicos.org/Name/22800418",NA,NA,NA
"Ocimum americanum L.","Ocimum americanum","Ocimum americanum","iPlant_TNRS","1","Ocimum americanum","L.","http://www.tropicos.org/Name/17607555",NA,NA,NA
"Ocimum basilicum L.","Ocimum basilicum","Ocimum basilicum","iPlant_TNRS","1","Ocimum basilicum","L.","http://www.tropicos.org/Name/17600210",NA,NA,NA
"Ocimum gratissimum L.","Ocimum gratissimum","Ocimum gratissimum","iPlant_TNRS","1","Ocimum gratissimum","L.","http://www.tropicos.org/Name/17600215","Tracheophyta","Lamiales","IO"
"Opuntia humifusa (Raf.) Raf.","Opuntia humifusa","Opuntia humifusa","iPlant_TNRS","1","Opuntia humifusa","(Raf.) Raf.","http://www.tropicos.org/Name/5100401",NA,NA,NA
"Parthenium hysterophorus L.","Parthenium hysterophorus","Parthenium hysterophorus","iPlant_TNRS","1","Parthenium hysterophorus","L.","http://www.tropicos.org/Name/2701101",NA,NA,NA
"Paspalum paniculatum L.","Paspalum paniculatum","Paspalum paniculatum","iPlant_TNRS","1","Paspalum paniculatum","L.","http://www.tropicos.org/Name/25512329",NA,NA,NA
"Paspalum scrobiculatum L.","Paspalum scrobiculatum","Paspalum scrobiculatum","iPlant_TNRS","1","Paspalum scrobiculatum","L.","http://www.tropicos.org/Name/25509846",NA,NA,NA
"Passiflora edulis Sims","Passiflora edulis","Passiflora edulis","iPlant_TNRS","1","Passiflora edulis","Sims","http://www.tropicos.org/Name/24200158",NA,NA,NA
"Passiflora foetida L.","Passiflora foetida","Passiflora foetida","iPlant_TNRS","1","Passiflora foetida","L.","http://www.tropicos.org/Name/24200152",NA,NA,NA
"Passiflora laurifolia L.","Passiflora laurifolia","Passiflora laurifolia","iPlant_TNRS","1","Passiflora laurifolia","L.","http://www.tropicos.org/Name/24200163",NA,NA,NA
"Passiflora quadrangularis L.","Passiflora quadrangularis","Passiflora quadrangularis","iPlant_TNRS","1","Passiflora quadrangularis","L.","http://www.tropicos.org/Name/24200172",NA,NA,NA
"Persea americana Mill.","Persea americana","Persea americana","iPlant_TNRS","1","Persea americana","Mill.","http://www.tropicos.org/Name/17801262",NA,NA,NA
"Phaseolus lunatus L.","Phaseolus lunatus","Phaseolus lunatus","iPlant_TNRS","1","Phaseolus lunatus","L.","http://www.tropicos.org/Name/13031613",NA,NA,NA
"Phyla nodiflora (L.) Greene","Phyla nodiflora","Phyla nodiflora","iPlant_TNRS","1","Phyla nodiflora","(L.) Greene","http://www.tropicos.org/Name/33700038",NA,NA,NA
"Phyllanthus amarus Schumach. & Thonn.","Phyllanthus amarus","Phyllanthus amarus","iPlant_TNRS","1","Phyllanthus amarus","Schumach. & Thonn.","http://www.tropicos.org/Name/12800250","Tracheophyta","Malpighiales","IO"
"Phyllanthus niruri L.","Phyllanthus niruri","Phyllanthus niruri","iPlant_TNRS","1","Phyllanthus niruri","L.","http://www.tropicos.org/Name/12800264",NA,NA,NA
"Phyllanthus tenellus Roxb.","Phyllanthus tenellus","Phyllanthus tenellus","iPlant_TNRS","1","Phyllanthus tenellus","Roxb.","http://www.tropicos.org/Name/12800090",NA,NA,NA
"Physalis angulata L.","Physalis angulata","Physalis angulata","iPlant_TNRS","1","Physalis angulata","L.","http://www.tropicos.org/Name/29600086",NA,NA,NA
"Physalis pubescens L.","Physalis pubescens","Physalis pubescens","iPlant_TNRS","1","Physalis pubescens","L.","http://www.tropicos.org/Name/29600211",NA,NA,NA
"Pityrogramma calomelanos (L.) Link","Pityrogramma calomelanos","Pityrogramma calomelanos","iPlant_TNRS","1","Pityrogramma calomelanos","(L.) Link","http://www.tropicos.org/Name/26600267",NA,NA,NA
