"scientificName","order","matchedname","authority","country_at_risk"
"Barbarea verna (Mill.) Asch.","Brassicales","Barbarea verna","(Mill.) Asch.","TC"
"Bergia capensis L.","Malpighiales","Bergia capensis","L.","TC"
"Cerastium arvense L.","Caryophyllales","Cerastium arvense","L.","TC"
"Cerastium fontanum Baumg.","Caryophyllales","Cerastium fontanum","Baumg.","TC"
"Elatine triandra Schkuhr","Malpighiales","Elatine triandra","Schkuhr","TC"
"Euphorbia lathyris L.","Malpighiales","Euphorbia lathyris","L.","TC"
"Ficus carica L.","Rosales","Ficus carica","L.","TC"
"Geranium purpureum Vill.","Geraniales","Geranium purpureum","Vill.","TC"
"Hibiscus syriacus L.","Malvales","Hibiscus syriacus","L.","TC"
"Hordeum vulgare L.","Poales","Hordeum vulgare","L.","TC"
"Hydrocotyle bonariensis Lam.","Apiales","Hydrocotyle bonariensis","Lam.","TC"
"Justicia betonica L.","Lamiales","Justicia betonica","L.","TC"
"Kickxia elatine (L.) Dumort.","Lamiales","Kickxia elatine","(L.) Dumort.","TC"
"Lemna gibba L.","Alismatales","Lemna gibba","L.","TC"
"Leontodon saxatilis Lam.","Asterales","Leontodon saxatilis","Lam.","TC"
"Leontodon taraxacoides Hoppe & Hornsch.","Asterales","Leontodon taraxacoides","Hoppe & Hornsch.","TC"
"Linum bienne Mill.","Malpighiales","Linum bienne","Mill.","TC"
"Populus nigra L.","Malpighiales","Populus nigra","L.","TC"
"Prosopis flexuosa DC.","Fabales","Prosopis flexuosa","DC.","TC"
"Prunus americana Marshall","Rosales","Prunus americana","Marshall","TC"
"Salix babylonica L.","Malpighiales","Salix babylonica","L.","TC"
"Trifolium arvense L.","Fabales","Trifolium arvense","L.","TC"
"Veronica agrestis L.","Lamiales","Veronica agrestis","L.","TC"
"Aeschynomene villosa Poir.","Fabales","Aeschynomene villosa","Poir.","VG"
"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","Poales","Andropogon glomeratus","(Walter) Britton, Sterns & Poggenb.","VG"
"Antigonon leptopus Hook. & Arn.","Caryophyllales","Antigonon leptopus","Hook. & Arn.","VG"
"Ardisia elliptica Thunb.","Ericales","Ardisia elliptica","Thunb.","VG"
"Aristolochia elegans Mast.","Piperales","Aristolochia elegans","Mast.","VG"
"Artocarpus altilis (Parkinson) Fosberg","Rosales","Artocarpus altilis","(Parkinson) Fosberg","VG"
"Boerhavia coccinea Mill.","Caryophyllales","Boerhavia coccinea","Mill.","VG"
"Boerhavia erecta L.","Caryophyllales","Boerhavia erecta","L.","VG"
"Caesalpinia bonduc (L.) Roxb.","Fabales","Caesalpinia bonduc","(L.) Roxb.","VG"
"Caesalpinia pulcherrima (L.) Sw.","Fabales","Caesalpinia pulcherrima","(L.) Sw.","VG"
"Cassia fistula L.","Fabales","Cassia fistula","L.","VG"
"Cassytha filiformis L.","Laurales","Cassytha filiformis","L.","VG"
"Celosia argentea L.","Caryophyllales","Celosia argentea","L.","VG"
"Combretum paniculatum Vent.","Myrtales","Combretum paniculatum","Vent.","VG"
"Commelina benghalensis L.","Commelinales","Commelina benghalensis","L.","VG"
"Crotalaria incana L.","Fabales","Crotalaria incana","L.","VG"
"Crotalaria micans Link","Fabales","Crotalaria micans","Link","VG"
"Crotalaria pallida Aiton","Fabales","Crotalaria pallida","Aiton","VG"
"Cyperus laevigatus L.","Poales","Cyperus laevigatus","L.","VG"
"Cyperus odoratus L.","Poales","Cyperus odoratus","L.","VG"
"Digitaria horizontalis Willd.","Poales","Digitaria horizontalis","Willd.","VG"
"Dioscorea bulbifera L.","Dioscoreales","Dioscorea bulbifera","L.","VG"
"Emilia fosbergii Nicolson","Asterales","Emilia fosbergii","Nicolson","VG"
"Eragrostis amabilis (L.) Wight & Arn.","Poales","Eragrostis amabilis","(L.) Wight & Arn.","VG"
"Eugenia uniflora L.","Myrtales","Eugenia uniflora","L.","VG"
"Euphorbia hyssopifolia L.","Malpighiales","Euphorbia hyssopifolia","L.","VG"
"Hura crepitans L.","Malpighiales","Hura crepitans","L.","VG"
"Hylocereus undatus (Haw.) Britton & Rose","Caryophyllales","Hylocereus undatus","(Haw.) Britton & Rose","VG"
"Hyparrhenia rufa (Nees) Stapf","Poales","Hyparrhenia rufa","(Nees) Stapf","VG"
"Indigofera hirsuta L.","Fabales","Indigofera hirsuta","L.","VG"
"Ipomoea hederifolia L.","Solanales","Ipomoea hederifolia","L.","VG"
"Ipomoea quamoclit L.","Solanales","Ipomoea quamoclit","L.","VG"
"Lagascea mollis Cav.","Asterales","Lagascea mollis","Cav.","VG"
"Manihot esculenta Crantz","Malpighiales","Manihot esculenta","Crantz","VG"
"Melinis repens (Willd.) Zizka","Poales","Melinis repens","(Willd.) Zizka","VG"
"Moringa oleifera Lam.","Brassicales","Moringa oleifera","Lam.","VG"
"Ocimum basilicum L.","Lamiales","Ocimum basilicum","L.","VG"
"Oldenlandia corymbosa L.","Gentianales","Oldenlandia corymbosa","L.","VG"
"Opuntia stricta (Haw.) Haw.","Caryophyllales","Opuntia stricta","(Haw.) Haw.","VG"
"Oxalis barrelieri L.","Oxalidales","Oxalis barrelieri","L.","VG"
"Pachyrhizus erosus (L.) Urb.","Fabales","Pachyrhizus erosus","(L.) Urb.","VG"
"Panicum trichoides Sw.","Poales","Panicum trichoides","Sw.","VG"
"Paspalum fimbriatum Kunth","Poales","Paspalum fimbriatum","Kunth","VG"
"Paspalum paniculatum L.","Poales","Paspalum paniculatum","L.","VG"
"Phyla nodiflora (L.) Greene","Lamiales","Phyla nodiflora","(L.) Greene","VG"
"Piper aduncum L.","Piperales","Piper aduncum","L.","VG"
"Plumbago auriculata Lam.","Caryophyllales","Plumbago auriculata","Lam.","VG"
"Porophyllum ruderale (Jacq.) Cass.","Asterales","Porophyllum ruderale","(Jacq.) Cass.","VG"
"Portulaca pilosa L.","Caryophyllales","Portulaca pilosa","L.","VG"
"Ricinus communis L.","Malpighiales","Ricinus communis","L.","VG"
"Rottboellia cochinchinensis (Lour.) Clayton","Poales","Rottboellia cochinchinensis","(Lour.) Clayton","VG"
"Rubus rosifolius Sm.","Rosales","Rubus rosifolius","Sm.","VG"
"Russelia equisetiformis Schltdl. & Cham.","Lamiales","Russelia equisetiformis","Schltdl. & Cham.","VG"
"Sansevieria hyacinthoides (L.) Druce","Asparagales","Sansevieria hyacinthoides","(L.) Druce","VG"
"Selaginella plana (Desv. ex Poir.) Hieron.","Selaginellales","Selaginella plana","(Desv. ex Poir.) Hieron.","VG"
"Setaria parviflora (Poir.) Kerguélen","Poales","Setaria parviflora","(Poir.) Kerguélen","VG"
"Sida cordifolia L.","Malvales","Sida cordifolia","L.","VG"
"Sida rhombifolia L.","Malvales","Sida rhombifolia","L.","VG"
"Sida spinosa L.","Malvales","Sida spinosa","L.","VG"
"Solanum capsicoides All.","Solanales","Solanum capsicoides","All.","VG"
"Sorghum bicolor (L.) Moench","Poales","Sorghum bicolor","(L.) Moench","VG"
"Spigelia anthelmia L.","Gentianales","Spigelia anthelmia","L.","VG"
"Tectaria incisa Cav.","Polypodiales","Tectaria incisa","Cav.","VG"
"Tephrosia candida DC.","Fabales","Tephrosia candida","DC.","VG"
"Tridax procumbens L.","Asterales","Tridax procumbens","L.","VG"
"Ziziphus mauritiana Lam.","Rosales","Ziziphus mauritiana","Lam.","VG"
"Ageratum houstonianum Mill.","Asterales","Ageratum houstonianum","Mill.","VG"
"Albizia lebbeck (L.) Benth.","Fabales","Albizia lebbeck","(L.) Benth.","VG"
"Amaranthus dubius Mart. ex Thell.","Caryophyllales","Amaranthus dubius","Mart. ex Thell.","VG"
"Ammannia auriculata Willd.","Myrtales","Ammannia auriculata","Willd.","VG"
"Annona reticulata L.","Magnoliales","Annona reticulata","L.","VG"
"Arachis hypogaea L.","Fabales","Arachis hypogaea","L.","VG"
"Arundo donax L.","Poales","Arundo donax","L.","VG"
"Asclepias curassavica L.","Gentianales","Asclepias curassavica","L.","VG"
"Avena fatua L.","Poales","Avena fatua","L.","VG"
"Avena sativa L.","Poales","Avena sativa","L.","VG"
"Avena sterilis L.","Poales","Avena sterilis","L.","VG"
"Avena strigosa Schreb.","Poales","Avena strigosa","Schreb.","VG"
"Barleria lupulina Lindl.","Lamiales","Barleria lupulina","Lindl.","VG"
"Barleria prionitis L.","Lamiales","Barleria prionitis","L.","VG"
"Barringtonia asiatica (L.) Kurz","Ericales","Barringtonia asiatica","(L.) Kurz","VG"
"Bidens pilosa L.","Asterales","Bidens pilosa","L.","VG"
"Bougainvillea glabra Choisy","Caryophyllales","Bougainvillea glabra","Choisy","VG"
"Brachiaria eruciformis (Sm.) Griseb.","Poales","Brachiaria eruciformis","(Sm.) Griseb.","VG"
"Brassica juncea (L.) Czern.","Brassicales","Brassica juncea","(L.) Czern.","VG"
"Canna indica L.","Zingiberales","Canna indica","L.","VG"
"Carica papaya L.","Brassicales","Carica papaya","L.","VG"
"Cedrela odorata L.","Sapindales","Cedrela odorata","L.","VG"
