"matchedname","authority","sourceid","uri","GBIF_id"
"Adonis aestivalis","L.","iPlant_TNRS","http://www.tropicos.org/Name/27100277","5371707"
"Adonis annua","L.","iPlant_TNRS","http://www.tropicos.org/Name/27100866","5371709"
"Adonis microcarpa","(DC.) Riedl","iPlant_TNRS","http://www.tropicos.org/Name/100283914","8408582"
"Adonis flammea","Jacq.","iPlant_TNRS","http://www.tropicos.org/Name/27101208","8246651"
"Aegilops cylindrica","Host","iPlant_TNRS","http://www.tropicos.org/Name/25500185","5289783"
"Aegilops kotschyi","Boiss.","iPlant_TNRS","http://www.tropicos.org/Name/25500224","5677942"
"Aegilops ovata","L.","iPlant_TNRS","http://www.tropicos.org/Name/25500259","7582996"
"Aegilops triuncialis","L.","iPlant_TNRS","http://www.tropicos.org/Name/25500369","5289793"
"Aegle marmelos","(L.) Corrêa","iPlant_TNRS","http://www.tropicos.org/Name/28100016","5421195"
"Aegopodium podagraria","L.","iPlant_TNRS","http://www.tropicos.org/Name/1700003","3034620"
"Aeonium","Webb & Berthel.","iPlant_TNRS","http://www.tropicos.org/Name/40033396","2985681"
"Aeonium arboreum","(L.) Webb & Berthel.","iPlant_TNRS","http://www.tropicos.org/Name/8902162","2985682"
"Aeonium haworthii","Salm-Dyck ex Webb & Berthel.","iPlant_TNRS","http://www.tropicos.org/Name/50074782","2985683"
"Aerva javanica","(Burm. f.) Juss.","iPlant_TNRS","http://www.tropicos.org/Name/1100377","7925519"
"Aerva lanata","(L.) Juss. ex Schult.","iPlant_TNRS","http://www.tropicos.org/Name/1101273","7618352"
"Aeschynomene americana","L.","iPlant_TNRS","http://www.tropicos.org/Name/13024832","2949235"
"Aeschynomene aspera","L.","iPlant_TNRS","http://www.tropicos.org/Name/13024836","2949102"
"Aeschynomene brasiliana","(Poir.) DC.","iPlant_TNRS","http://www.tropicos.org/Name/13024842","2949075"
"Aeschynomene brevifolia","L. ex Poir.","iPlant_TNRS","http://www.tropicos.org/Name/13024843","2949301"
"Aeschynomene micrantha","L. ex Poir.","iPlant_TNRS","http://www.tropicos.org/Name/13024843","2949301"
"Aeschynomene indica","L.","iPlant_TNRS","http://www.tropicos.org/Name/13024898","2949250"
"Aeschynomene rudis","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13024966","2949399"
"Cyclocarpa stellaris","(Afzel. ex Baker) Roberty","iPlant_TNRS","http://www.tropicos.org/Name/13043197","2952934"
"Aeschynomene villosa","Poir.","iPlant_TNRS","http://www.tropicos.org/Name/13007659","2949366"
"Aeschynomene virginica","(L.) Britton, Sterns & Poggenb.","iPlant_TNRS","http://www.tropicos.org/Name/13007663","2949101"
