acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Bertholletia excelsa,Bonpl.,TNRS,0,0,0,0,0,0,0
Berula erecta,(Huds.) Coville,http://www.tropicos.org/Name/1700328,0,0,0,0,0,0,0
Beta vulgaris,L.,http://www.tropicos.org/Name/7200163,0,0,0,0,0,0,0
Betula nigra,L.,http://www.tropicos.org/Name/3600067,0,0,0,0,0,0,0
Betula pendula,Roth,http://www.tropicos.org/Name/3600018,0,0,0,0,0,0,0
Bidens aurea,(Aiton) Sherff,http://www.tropicos.org/Name/2726192,0,0,0,0,0,0,0
Bidens bipinnata,L.,http://www.tropicos.org/Name/2701920,1,0,0,0,0,0,0
Bidens pilosa,L.,http://www.tropicos.org/Name/2700301,1,1,1,1,0,0,1
Bidens subalternans,DC.,http://www.tropicos.org/Name/2700305,0,0,0,0,0,0,0
Bidens tripartita,L.,http://www.tropicos.org/Name/2700308,0,0,0,0,0,0,0
Bischofia javanica,Blume,http://www.tropicos.org/Name/12801991,0,1,0,0,0,0,0
Bixa orellana,L.,http://www.tropicos.org/Name/3800005,1,0,0,1,0,0,0
Blechnum occidentale,L.,http://www.tropicos.org/Name/26602708,0,0,0,1,0,1,-1
Boerhavia coccinea,Mill.,http://www.tropicos.org/Name/22500002,1,0,1,1,0,1,-1
Boerhavia diffusa,L.,http://www.tropicos.org/Name/22500356,1,0,1,0,1,1,0
Boerhavia erecta,L.,http://www.tropicos.org/Name/22500361,1,1,1,1,0,1,0
Borago officinalis,L.,http://www.tropicos.org/Name/4000793,0,1,0,0,0,0,0
Bothriochloa pertusa,(L.) A. Camus,http://www.tropicos.org/Name/25509344,1,0,1,0,0,0,0
Bougainvillea glabra,Choisy,http://www.tropicos.org/Name/22500032,1,1,1,0,0,0,0
Bouteloua aristidoides,(Kunth) Griseb.,http://www.tropicos.org/Name/25511670,0,0,0,0,0,0,0
Bouteloua barbata,Lag.,http://www.tropicos.org/Name/25511671,0,0,0,0,0,0,0
Bowlesia incana,Ruiz & Pav.,http://www.tropicos.org/Name/1700635,0,0,0,0,0,0,0
Brachiaria eruciformis,(Sm.) Griseb.,http://www.tropicos.org/Name/25544939,0,0,0,0,0,0,0
Brassica juncea,(L.) Czern.,http://www.tropicos.org/Name/4105206,0,1,0,1,0,0,0
Brassica napus,L.,http://www.tropicos.org/Name/4100068,0,0,0,0,0,0,0
Brassica oleracea,L.,http://www.tropicos.org/Name/4100070,0,1,0,0,0,0,0
Brassica rapa,L.,http://www.tropicos.org/Name/4100074,0,0,0,0,0,0,0
Brexia madagascariensis,(Lam.) Ker Gawl.,http://www.tropicos.org/Name/29101064,0,0,0,0,0,0,0
