Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Apocynaceae,Hoodia pilifera,Hoodia ,pilifera,hoodia,-2,Low Risk,L (HPWRA),06/05/2015,Hoodia pilifera.pdf,
Apocynaceae,Hoodia ruschii,Hoodia ,ruschii,hoodia,-2,Low Risk,L (HPWRA),06/05/2015,Hoodia ruschii.pdf,
Asparagaceae,Hosta sieboldii,Hosta,sieboldii,narrow-leaved hosta,3,Evaluate,L (HPWRA),26/01/2016,Hosta sieboldii.pdf,
Saururaceae,Houttuynia cordata,Houttuynia ,cordata,chameleon-plant,8,High Risk,H (HPWRA),10/07/2009,Houttuynia cordata.xls,
Arecaceae,Howea forsteriana,Howea ,forsteriana,kentia palm,3,Evaluate,Evaluate,15/03/2010,Howea forsteriana.pdf,
Asclepiadaceae,Hoya australis,Hoya ,australis,Samoan wax flower,8,High Risk,H (HPWRA),12/08/2010,Hoya australis.pdf,
Asclepiadaceae,Hoya multiflora,Hoya,multiflora,shooting stars,-2,Low Risk,L (HPWRA),29/03/2012,Hoya multiflora.pdf,
Apocynaceae,Huernia longii,Huernia ,longii,huernia,3,Low Risk,L (HPWRA),23/07/2015,Huernia longii.pdf,
Papaveraceae,Hunnemannia fumariifolia,Hunnemannia,fumariifolia,Mexican tulip poppy,3,Low Risk,L (HPWRA),14/07/2010,Hunnemannia fumariifolia.pdf,
Euphorbiaceae,Hura crepitans,Hura ,crepitans,"sandbox tree, possumwood",8,High Risk,H (HPWRA),11/02/2011,Hura crepitans.pdf,
Hydrocharitaceae,Hydrocharis morsus-ranae,Hydrocharis ,morsus-ranae,"common frogbit, European frog's-bit",18,High Risk,H (HPWRA),22/09/2015,Hydrocharis morsus-ranae.pdf,
Acanthaceae,Hygrophila polysperma,Hygrophila ,polysperma,east Indian swampweed,20,High Risk,H (HPWRA),23/11/2008,Hygrophila polysperma.xls,
Cactaceae,Hylocereus undatus,Hylocereus,undatus,"dragon fruit, night-blooming cereus",9,High Risk,H (HPWRA),01/12/2013,Hylocereus undatus.pdf,
Fabaceae,Hymenea courbaril,Hymenea ,courbaril,west Indian locust,0,Low Risk,L (HPWRA),02/11/2006,Hymenea courbaril.xls,
Arecaceae,Hyophorbe lagenicaulis,Hyophorbe ,lagenicaulis,bottle palm,-3,Low Risk,L (HPWRA),13/05/2004,Hyophorbe lagenicaulis.xls,
Arecaceae,Hyophorbe verschaffeltii,Hyophorbe,verschaffeltii,"spindle palm, palmiste marron",-5,Low Risk,L (HPWRA),25/04/2012,Hyophorbe verschaffeltii.pdf,
Clusiaceae,Hypericum canariense,Hypericum ,canariense,Canary Island St. Johnswort,9,High Risk,H (HPWRA),15/07/2003,Hypericum canariense.xls,
Clusiaceae,Hypericum perforatum,Hypericum ,perforatum,common St. Johnswort,12,High Risk,H (HPWRA),15/07/2003,Hypericum perforatum.xls,
Asteraceae,Hypochaeris radicata,Hypochaeris,radicata,"gosmore, hairy cat's ear, Hypochoeris",16,High Risk,H (Hawaii),16/12/2015,Hypochaeris radicata.pdf,
